Brain,Height,Weight,PIQ
81.69,64.5,118,124
103.84,73.3,143,150
96.54,68.8,172,128
95.15,65,147,134
92.88,69,146,110
99.13,64.5,138,131
85.43,66,175,98
90.49,66.3,134,84
95.55,68.8,172,147
83.39,64.5,118,124
107.95,70,151,128
92.41,69,155,124
85.65,70.5,155,147
87.89,66,146,90
86.54,68,135,96
85.22,68.5,127,120
94.51,73.5,178,102
80.8,66.3,136,84
88.91,70,180,86
90.59,76.5,186,84
79.06,62,122,134
95.5,68,132,128
83.18,63,114,102
93.55,72,171,131
79.86,68,140,84
106.25,77,187,110
79.35,63,106,72
86.67,66.5,159,124
85.78,62.5,127,132
94.96,67,191,137
99.79,75.5,192,110
88,69,181,86
83.43,66.5,143,81
94.81,66.5,153,128
94.94,70.5,144,124
89.4,64.5,139,94
93,74,148,74
93.59,75.5,179,89
93.55,78,168,124
79.86,68,147,98
